DATE,CUSR0000SAF112
1967-01-01,38.100
1967-02-01,38.000
1967-03-01,37.800
1967-04-01,37.500
1967-05-01,37.400
1967-06-01,38.100
1967-07-01,38.000
1967-08-01,38.200
1967-09-01,38.300
1967-10-01,38.200
1967-11-01,38.100
1967-12-01,38.200
1968-01-01,37.900
1968-02-01,38.300
1968-03-01,38.500
1968-04-01,38.700
1968-05-01,38.800
1968-06-01,38.900
1968-07-01,38.900
1968-08-01,39.100
1968-09-01,39.600
1968-10-01,40.100
1968-11-01,39.900
1968-12-01,40.000
1969-01-01,40.300
1969-02-01,40.500
1969-03-01,40.300
1969-04-01,41.100
1969-05-01,41.500
1969-06-01,43.000
1969-07-01,43.300
1969-08-01,43.600
1969-09-01,43.900
1969-10-01,43.900
1969-11-01,44.600
1969-12-01,45.100
1970-01-01,45.300
1970-02-01,45.600
1970-03-01,45.000
1970-04-01,44.800
1970-05-01,44.900
1970-06-01,44.500
1970-07-01,44.700
1970-08-01,44.200
1970-09-01,44.200
1970-10-01,44.100
1970-11-01,43.800
1970-12-01,43.700
1971-01-01,43.300
1971-02-01,43.000
1971-03-01,43.500
1971-04-01,43.800
1971-05-01,44.200
1971-06-01,44.500
1971-07-01,44.300
1971-08-01,44.300
1971-09-01,44.100
1971-10-01,44.600
1971-11-01,44.800
1971-12-01,45.400
1972-01-01,45.600
1972-02-01,47.000
1972-03-01,47.200
1972-04-01,47.200
1972-05-01,47.300
1972-06-01,47.600
1972-07-01,48.400
1972-08-01,48.200
1972-09-01,48.500
1972-10-01,49.200
1972-11-01,49.700
1972-12-01,50.200
1973-01-01,52.200
1973-02-01,53.900
1973-03-01,57.100
1973-04-01,58.900
1973-05-01,59.600
1973-06-01,60.100
1973-07-01,59.700
1973-08-01,69.500
1973-09-01,67.600
1973-10-01,64.700
1973-11-01,63.900
1973-12-01,63.900
1974-01-01,65.000
1974-02-01,66.400
1974-03-01,65.200
1974-04-01,62.900
1974-05-01,60.500
1974-06-01,58.800
1974-07-01,57.600
1974-08-01,60.200
1974-09-01,62.000
1974-10-01,62.100
1974-11-01,62.600
1974-12-01,62.700
1975-01-01,62.300
1975-02-01,62.000
1975-03-01,61.600
1975-04-01,62.100
1975-05-01,64.000
1975-06-01,66.400
1975-07-01,69.300
1975-08-01,69.800
1975-09-01,70.700
1975-10-01,72.000
1975-11-01,72.000
1975-12-01,71.800
1976-01-01,70.800
1976-02-01,69.100
1976-03-01,68.000
1976-04-01,67.200
1976-05-01,68.200
1976-06-01,68.500
1976-07-01,68.700
1976-08-01,68.100
1976-09-01,67.900
1976-10-01,67.100
1976-11-01,66.300
1976-12-01,66.000
1977-01-01,66.200
1977-02-01,67.100
1977-03-01,66.800
1977-04-01,66.600
1977-05-01,66.700
1977-06-01,66.900
1977-07-01,67.700
1977-08-01,68.000
1977-09-01,68.200
1977-10-01,68.000
1977-11-01,68.700
1977-12-01,68.300
1978-01-01,69.600
1978-02-01,71.300
1978-03-01,73.000
1978-04-01,75.500
1978-05-01,77.400
1978-06-01,80.200
1978-07-01,79.700
1978-08-01,79.800
1978-09-01,79.600
1978-10-01,80.500
1978-11-01,81.600
1978-12-01,82.100
1979-01-01,84.700
1979-02-01,87.900
1979-03-01,89.600
1979-04-01,91.100
1979-05-01,92.100
1979-06-01,91.000
1979-07-01,90.200
1979-08-01,87.200
1979-09-01,87.300
1979-10-01,87.700
1979-11-01,87.900
1979-12-01,89.200
1980-01-01,90.500
1980-02-01,89.400
1980-03-01,90.000
1980-04-01,88.900
1980-05-01,87.900
1980-06-01,87.700
1980-07-01,89.500
1980-08-01,93.000
1980-09-01,95.200
1980-10-01,96.200
1980-11-01,97.300
1980-12-01,97.300
1981-01-01,96.400
1981-02-01,95.300
1981-03-01,94.600
1981-04-01,93.900
1981-05-01,94.100
1981-06-01,94.800
1981-07-01,96.300
1981-08-01,97.100
1981-09-01,97.400
1981-10-01,97.600
1981-11-01,96.900
1981-12-01,96.300
1982-01-01,95.400
1982-02-01,96.800
1982-03-01,97.100
1982-04-01,97.600
1982-05-01,99.500
1982-06-01,101.600
1982-07-01,102.100
1982-08-01,101.100
1982-09-01,101.600
1982-10-01,101.000
1982-11-01,100.200
1982-12-01,99.100
1983-01-01,99.000
1983-02-01,99.500
1983-03-01,99.800
1983-04-01,99.700
1983-05-01,100.300
1983-06-01,99.900
1983-07-01,99.200
1983-08-01,98.600
1983-09-01,98.500
1983-10-01,98.100
1983-11-01,97.700
1983-12-01,98.000
1984-01-01,101.400
1984-02-01,103.200
1984-03-01,102.100
1984-04-01,102.900
1984-05-01,102.100
1984-06-01,101.000
1984-07-01,100.600
1984-08-01,100.800
1984-09-01,100.000
1984-10-01,99.700
1984-11-01,99.400
