,Words,Count,SongCount,SemiAnnualSpan
0,times,2487,1341.0,120.0
1,are,14319,5777.0,120.0
2,far,2202,1322.0,120.0
3,between,1042,668.0,119.0
4,and,127508,18459.0,120.0
5,few,590,420.0,120.0
6,i,224593,18225.0,120.0
7,bet,1084,586.0,120.0
8,when,30220,10406.0,120.0
9,we,37646,8561.0,120.0
10,can,28158,9197.0,120.0
11,look,7779,3799.0,120.0
12,upon,815,535.0,120.0
13,our,6615,3021.0,120.0
14,lives,597,411.0,120.0
15,without,4129,1812.0,120.0
16,regret,266,187.0,119.0
17,of,50212,13665.0,120.0
18,all,44382,12784.0,120.0
19,the,201797,18906.0,120.0
20,things,5803,3191.0,120.0
21,have,15818,6827.0,120.0
22,done,3117,1654.0,120.0
23,you,235166,18147.0,120.0
24,think,9374,4301.0,120.0
25,i'm,57170,11660.0,120.0
26,proud,548,281.0,116.0
27,everyone,891,532.0,120.0
28,exception,62,22.0,106.0
29,'till,267,171.0,119.0
30,make,18272,6772.0,120.0
31,your,56115,12655.0,120.0
32,peace,826,487.0,120.0
33,with,33741,10592.0,120.0
34,yesterday,726,399.0,120.0
35,you'll,4862,2406.0,120.0
36,never,18985,7000.0,120.0
37,build,418,262.0,120.0
38,a,116323,17164.0,120.0
39,future,536,376.0,118.0
40,swear,1094,579.0,120.0
41,by,8767,4481.0,120.0
42,what,28972,9294.0,120.0
43,say,18012,7025.0,120.0
44,whatever,1236,589.0,119.0
45,penance,4,4.0,41.0
46,do,33396,8779.0,120.0
47,decide,236,163.0,118.0
48,it's,31111,9522.0,120.0
49,worth,884,497.0,119.0
50,to,130881,18558.0,120.0
51,then,9362,4659.0,120.0
52,respect,455,252.0,107.0
53,it,91645,14508.0,120.0
54,however,65,36.0,109.0
55,long,7728,3525.0,120.0
56,will,12785,5024.0,120.0
57,take,15773,6115.0,120.0
58,weather,333,220.0,119.0
59,mistakes,306,206.0,117.0
60,why,9130,3608.0,120.0
61,not,14152,5992.0,120.0
62,accept,117,82.0,116.0
63,my,86227,15084.0,120.0
64,hands,2844,1377.0,120.0
65,for,39363,11704.0,120.0
66,now,26906,9060.0,120.0
67,tied,229,148.0,118.0
68,body,3499,1157.0,119.0
69,frozen,107,85.0,116.0
70,that's,11564,4783.0,120.0
71,paralyzed,33,25.0,105.0
72,ever,7223,3301.0,120.0
73,set,1723,957.0,120.0
74,aside,153,106.0,117.0
75,pain,2140,1232.0,120.0
76,misery,323,210.0,120.0
77,no,32753,9274.0,120.0
78,matter,2123,1067.0,120.0
79,how,14064,5839.0,120.0
80,beg,375,201.0,118.0
81,wish,2663,1161.0,120.0
82,or,7873,3957.0,120.0
83,plead,98,43.0,119.0
84,be,45625,12186.0,120.0
85,more,10729,4480.0,120.0
86,than,5169,2618.0,120.0
87,alive,1460,634.0,120.0
88,survive,493,253.0,120.0
89,until,2269,1299.0,120.0
90,expect,167,132.0,120.0
91,want,19302,6064.0,120.0
92,world,8542,3569.0,120.0
93,better,6384,2684.0,120.0
94,soon,1352,846.0,120.0
95,forget,2306,1222.0,120.0
96,drop,1682,762.0,120.0
97,that,60171,14435.0,120.0
98,heavy,459,235.0,118.0
99,baggage,22,18.0,117.0
100,you're,22540,7119.0,120.0
101,dragging,41,30.0,91.0
102,behind,1693,1121.0,120.0
103,there,12286,5438.0,120.0
104,won't,7751,3503.0,120.0
105,room,1556,996.0,120.0
106,us,5975,2581.0,120.0
107,both,1364,850.0,120.0
108,go,23356,7682.0,120.0
109,this,27915,8937.0,120.0
