,name,artist,release,peak,duration,SemiYearID,WeekID,QuarterID
0,don't you worry child,swedish house mafia featuring john martin,2012.75,6,33,2012.5,2012-10-06,2012.75
1,don't you worry,don gardner and dee dee ford,1962.583333333333,66,7,1962.5,1962-08-25,1962.5
2,don't you write her off,"mcguinn, clark & hillman",1979.166666666667,33,11,1979.0,1979-03-17,1979.0
3,don't,billy currington,2008.833333333333,52,20,2008.5,2008-11-08,2008.75
4,don't,bryson tiller,2015.75,13,34,2015.5,2015-10-17,2015.75
5,don't,ed sheeran,2014.416666666667,9,36,2014.0,2014-06-28,2014.25
6,donald trump,mac miller,2011.416666666667,75,7,2011.0,2011-06-11,2011.25
7,donald where's your troosers?,andy stewart,1961.583333333333,77,4,1961.5,1961-08-19,1961.5
8,done for me,charlie puth featuring kehlani,2018.333333333333,53,9,2018.0,2018-05-19,2018.25
9,done.,the band perry,2013.166666666667,43,20,2013.0,2013-03-30,2013.0
10,poor little fool,ricky nelson,1958.583333333333,1,11,1958.5,1958-08-02,1958.5
11,candle in the wind 1997/something about the way you look tonight,elton john,1997.75,1,42,1997.5,1997-10-11,1997.75
12,do i make you proud,taylor hicks,2006.5,1,8,2006.0,2006-07-01,2006.5
13,3,britney spears,2009.75,1,20,2009.5,2009-10-24,2009.75
14,born this way,lady gaga,2011.083333333333,1,20,2011.0,2011-02-26,2011.0
15,part of me,katy perry,2012.166666666667,1,22,2012.0,2012-03-03,2012.0
16,shake it off,taylor swift,2014.666666666667,1,50,2014.5,2014-09-06,2014.5
17,pillowtalk,zayn,2016.083333333333,1,24,2016.0,2016-02-20,2016.0
18,can't stop the feeling!,justin timberlake,2016.333333333333,1,52,2016.0,2016-05-28,2016.25
19,shape of you,ed sheeran,2017.0,1,58,2017.0,2017-01-28,2017.0
20,"thank u, next",ariana grande,2018.833333333333,1,7,2018.5,2018-11-17,2018.75
21,patricia,perez prado and his orchestra,1958.583333333333,2,14,1958.5,1958-08-02,1958.5
22,always be my baby,mariah carey,1996.25,1,32,1996.0,1996-04-06,1996.25
23,tha crossroads,bone thugs-n-harmony,1996.333333333333,1,20,1996.0,1996-05-11,1996.25
24,4 seasons of loneliness,boyz ii men,1997.666666666667,1,20,1997.5,1997-09-27,1997.5
25,crush,david archuleta,2008.583333333333,2,23,2008.5,2008-08-30,2008.5
26,party in the u.s.a.,miley cyrus,2009.583333333333,2,28,2009.5,2009-08-29,2009.5
27,california gurls,katy perry featuring snoop dogg,2010.333333333333,1,27,2010.0,2010-05-29,2010.25
28,boyfriend,justin bieber,2012.25,2,20,2012.0,2012-04-14,2012.25
29,best song ever,one direction,2013.583333333333,2,21,2013.5,2013-08-10,2013.5
30,sorry,justin bieber,2015.833333333333,1,42,2015.5,2015-11-14,2015.75
31,cold water,major lazer featuring justin bieber & mo,2016.583333333333,2,27,2016.5,2016-08-13,2016.5
32,rockstar,post malone featuring 21 savage,2017.75,1,40,2017.5,2017-10-07,2017.75
33,psycho,post malone featuring ty dolla $ign,2018.166666666667,1,39,2018.0,2018-03-10,2018.0
34,splish splash,bobby darin,1958.583333333333,3,8,1958.5,1958-08-02,1958.5
35,circus,britney spears,2008.916666666667,3,22,2008.5,2008-12-20,2008.75
36,the edge of glory,lady gaga,2011.333333333333,3,24,2011.0,2011-05-28,2011.25
37,she will,lil wayne featuring drake,2011.666666666667,3,21,2011.5,2011-09-03,2011.5
38,payphone,maroon 5 featuring wiz khalifa,2012.333333333333,2,31,2012.0,2012-05-05,2012.25
39,berzerk,eminem,2013.666666666667,3,20,2013.5,2013-09-14,2013.5
