,word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,a,0,0,0,0,0,1,0,0,0,0
1,aback,0,0,0,0,0,0,0,0,0,0
2,abacu,0,0,0,0,0,0,0,0,0,1
3,abandon,1,0,0,1,0,1,0,1,0,0
4,abandonment,1,0,0,1,0,1,0,1,1,0
5,abate,0,0,0,0,0,0,0,0,0,0
6,abatement,0,0,0,0,0,0,0,0,0,0
7,abba,0,0,0,0,0,0,1,0,0,0
8,abbot,0,0,0,0,0,0,0,0,0,1
9,abbreviate,0,0,0,0,0,0,0,0,0,0
10,abbreviation,0,0,0,0,0,0,0,0,0,0
11,abdomen,0,0,0,0,0,0,0,0,0,0
12,abdominal,0,0,0,0,0,0,0,0,0,0
13,abduction,0,0,0,1,0,1,0,1,1,0
14,aberrant,0,0,0,0,0,1,0,0,0,0
15,aberration,0,0,1,0,0,1,0,0,0,0
16,abeyance,0,0,0,0,0,0,0,0,0,0
17,abhor,1,0,1,1,0,1,0,0,0,0
18,abhorrent,1,0,1,1,0,1,0,0,0,0
19,abide,0,0,0,0,0,0,0,0,0,0
20,ability,0,0,0,0,0,0,1,0,0,0
21,abject,0,0,1,0,0,1,0,0,0,0
22,ablation,0,0,0,0,0,0,0,0,0,0
23,ablaze,0,0,0,0,0,0,0,0,0,0
24,abnormal,0,0,1,0,0,1,0,0,0,0
25,aboard,0,0,0,0,0,0,0,0,0,0
26,abolish,1,0,0,0,0,1,0,0,0,0
27,abolition,0,0,0,0,0,1,0,0,0,0
28,abominable,0,0,1,1,0,1,0,0,0,0
29,abomination,1,0,1,1,0,1,0,0,0,0
30,aboriginal,0,0,0,0,0,0,0,0,0,0
31,abort,0,0,0,0,0,1,0,0,0,0
32,abortion,0,0,1,1,0,1,0,1,0,0
33,abortive,0,0,0,0,0,1,0,1,0,0
34,abound,0,0,0,0,0,0,0,0,0,0
35,abovemention,0,0,0,0,0,0,1,0,0,0
36,abrasion,0,0,0,0,0,1,0,0,0,0
37,abroad,0,0,0,0,0,0,0,0,0,0
38,abrogate,0,0,0,0,0,1,0,0,0,0
39,abrupt,0,0,0,0,0,0,0,0,1,0
40,abruptly,0,0,0,0,0,0,0,0,0,0
41,abscess,0,0,0,0,0,1,0,1,0,0
42,absence,0,0,0,1,0,1,0,1,0,0
